fecha_ingreso,hora_ingreso,nro_registro_interno,situacion,origen,es_anonima,tema,subtema,provincia,localidad,dependencia_alta,via_ingreso,derivacion_institucion,derivacion_fecha,derivacion_judicializa,derivacion2_institucion,derivacion2_fecha,derivacion2_judicializa,derivacion3_institucion,derivacion3_fecha,derivacion3_judicializa,denunciante_nacionalidad,denunciante_provincia,denunciante_localidad,denunciante_tipo,denunciante_como_conocio_la_linea,denunciante_genero,denunciante_edad_aparente,provincia_indec_id
2020-01-06,13:37,7515554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-01-06 13:35,Si,,,,,,,Argentina,Buenos Aires,San Andres,Denunciante - ciudadano,,Mujer,,06
2020-01-06,18:13,8425554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-01-06 18:06,Si,,,,,,,,,,Denunciante - ciudadano,,,,06
2020-01-06,20:44,9425554505,Emergencia,Ciudadano,Si,Trata,Explotación sexual,Santa Fe,Santo Tomé,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-06 21:39,Si,,,,,,,,,,,,,,82
2020-01-07,10:26,525554505,Urgencia,Ciudadano,Si,Trata,"Explotación sexual, explotación sexual niñas, niños y adolescentes",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-07 10:59,Si,,,,,,,,,,Denunciante - ciudadano,,Hombre,,02
2020-01-07,12:48,1525554505,Urgencia,Ciudadano,No,Trata,"Persona desaparecida, venta de niños y otros delitos",Buenos Aires,Melchor Romero,PNR - Línea 145,Presencial,Protex,2020-01-07 12:08,Si,,,,,,,Argentina,Buenos Aires,Ensenada,Denunciante - ciudadano,,Mujer,,06
2020-01-07,14:35,2525554505,Urgencia,Ciudadano,No,Trata,"Explotación sexual niñas, niños y adolescentes",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-07 14:38,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,02
2020-01-07,15:19,3525554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Córdoba,Villa Carlos Paz,PNR - Línea 145,Línea 145,Protex,2020-01-07 16:10,Si,,,,,,,,Córdoba,Villa Carlos Paz,Denunciante - ciudadano,,,,14
2020-01-08,01:19,4525554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-08 01:36,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,06
2020-01-08,08:58,5525554505,Emergencia,Ciudadano,Si,Trata,Explotación sexual,Salta,Tartagal,PNR - Línea 145,Línea 145,Protex,2020-01-08 09:18,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,66
2020-01-08,11:06,6525554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,La Plata,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-08 11:47,Si,,,,,,,,,,Denunciante - ciudadano,,Hombre,,06
2020-01-08,11:28,7525554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,La Plata,PNR - Línea 145,Línea 145,Protex,2020-01-08 11:26,Si,,,,,,,Argentina,Buenos Aires,Melchor Romero,Denunciante - ciudadano,,Mujer,,06
2020-01-08,12:26,8435554505,Emergencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-08 13:35,Si,,,,,,,,,,Denunciante - ciudadano,,Hombre,,06
2020-01-08,14:47,9435554505,Urgencia,Institución,No,Trata,Explotación sexual,Río Negro,San Carlos de Bariloche,PNR - Línea 145,Teléfono institucional,Protex,2020-01-08 14:38,Si,,,,,,,,Río Negro,San Carlos de Bariloche,Denunciante - ciudadano,,Mujer,,62
2020-01-08,17:59,535554505,Urgencia,Institución,No,Trata,Explotación sexual,Corrientes,Goya,PNR - Línea 145,Línea 145,Protex,2020-01-08 17:56,Si,,,,,,,Argentina,Buenos Aires,Pilar Centro,Denunciante - ciudadano,,Hombre,,18
2020-01-09,00:45,1535554505,Urgencia,Ciudadano,Si,Trata,Posible captación,Salta,Salta,PNR - Línea 145,Línea 145,Protex,2020-01-09 00:34,Si,,,,,,,,Salta,Salta,Denunciante - ciudadano,,Mujer,,66
2020-01-09,03:41,2535554505,Emergencia,Ciudadano,No,Trata,Posible captación,Mendoza,Rivadavia,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-09 05:09,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,50
2020-01-09,06:51,3535554505,Emergencia,Institución,No,Trata,Posible captación,Mendoza,Rivadavia,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-09 07:24,Si,,,,,,,,,,,,,,50
2020-01-09,09:30,5535554505,Urgencia,Ciudadano,Si,Trata,Persona desaparecida,,,PNR - Línea 145,Línea 145,Protex,2020-01-09 09:25,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,
2020-01-09,11:22,6535554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-09 11:22,Si,,,,,,,,,,,,,,06
2020-01-09,12:06,7535554505,Urgencia,Ciudadano,No,Trata,Posible captación,Mendoza,,PNR - Línea 145,Línea 145,Protex,2020-01-09 12:05,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,50
2020-01-09,14:22,9445554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-09 14:20,Si,,,,,,,,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,Hombre,,06
2020-01-09,15:40,545554505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-01-09 15:36,Si,,,,,,,Argentina,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,Hombre,,06
2020-01-09,18:40,2545554505,Urgencia,Ciudadano,No,Trata,Abuso sexual infantil,Salta,Salta,PNR - Línea 145,Línea 145,Protex,2020-06-24 15:24,Si,,,,,,,Argentina,Salta,Salta,Denunciante - ciudadano,,Mujer,,66
2020-01-09,21:54,4545554505,Urgencia,Ciudadano,No,Trata,Posible captación,Mendoza,Mendoza,PNR - Línea 145,Línea 145,Protex,2020-01-09 21:52,Si,,,,,,,,,,Denunciante - ciudadano,,,,50
2020-01-09,23:43,5545554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,,,PNR - Línea 145,Línea 145,Protex,2020-01-09 23:41,Si,,,,,,,,Buenos Aires,,Denunciante - ciudadano,,,,
2020-01-10,09:28,7545554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Santa Fe,San Genaro,PNR - Línea 145,Línea 145,Protex,2020-01-10 10:01,Si,,,,,,,,,,,,,,82
2020-01-10,10:05,8455554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-10 10:36,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,06
2020-01-10,11:37,9455554505,Urgencia,Ciudadano,Si,Trata,Persona desaparecida,Buenos Aires,Quilmes,PNR - Línea 145,Línea 145,,,,,,,,,,,,,,,,,06
2020-01-10,17:32,1555554505,Emergencia,Ciudadano,No,Trata,Explotación sexual,Entre Ríos,Concordia,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-10 18:54,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,30
2020-01-10,22:31,2555554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Valentín Alsina,PNR - Línea 145,Línea 145,Protex,2020-06-24 15:25,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,06
2020-01-11,02:43,3555554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,Protex,2020-01-11 02:40,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,90
2020-01-11,03:06,4555554505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,San Miguel,PNR - Línea 145,Línea 145,Protex,2020-01-11 02:58,Si,,,,,,,Argentina,Buenos Aires,San Miguel,Denunciante - ciudadano,,Hombre,,06
2020-01-11,14:24,6555554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Lomas de Zamora,PNR - Línea 145,Línea 145,Protex,2020-01-11 14:17,Si,,,,,,,Argentina,Buenos Aires,Lomas de Zamora,Denunciante - ciudadano,Por Recomendación,Mujer,23,06
2020-01-11,19:06,8465554505,Urgencia,Ciudadano,No,Trata,"Explotación sexual niñas, niños y adolescentes",Corrientes,Bella Vista,PNR - Línea 145,Línea 145,Protex,2020-01-11 19:08,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,18
2020-01-11,21:36,9465554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-01-11 21:29,Si,,,,,,,,,,Denunciante - ciudadano,,,25,06
2020-01-11,23:38,565554505,Urgencia,Institución,No,Trata,"Persona desaparecida, posible captación",Buenos Aires,Gobernador Costa,PNR - Línea 145,Línea 145,Protex,2020-01-11 23:31,Si,,,,,,,Argentina,Buenos Aires,,Denunciante - ciudadano,,Mujer,70,06
2020-01-12,13:03,1565554505,Urgencia,Ciudadano,No,Trata,Posible captación,Buenos Aires,Adrogué,PNR - Línea 145,Línea 145,Protex,2020-01-12 12:59,Si,,,,,,,Argentina,Buenos Aires,Adrogué,Denunciante - ciudadano,,Mujer,,06
2020-01-13,11:03,5565554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Corrientes,Corrientes,PNR - Línea 145,Línea 145,,,,,,,,,,,,,Denunciante - ciudadano,,Mujer,,18
2020-01-13,17:28,9475554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Protex,2020-01-13 17:26,Si,,,,,,,,,,Denunciante - ciudadano,,,,06
2020-01-13,19:35,575554505,Urgencia,Ciudadano,No,Trata,Oferta laboral engañosa,Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Protex,2020-01-13 19:33,Si,,,,,,,,Buenos Aires,Villa Crespo,Denunciante - ciudadano,,Hombre,,06
2020-01-13,20:42,1575554505,Urgencia,Ciudadano,Si,Trata,Oferta laboral engañosa,Buenos Aires,Berazategui,PNR - Línea 145,Línea 145,,,,,,,,,,,,,,,,,06
2020-01-13,22:24,3575554505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Santa Fe,Termas de Río Hondo,PNR - Línea 145,Línea 145,Protex,2020-01-13 23:59,Si,,,,,,,,Santiago del Estero,Termas de Río Hondo,Denunciante - ciudadano,,Mujer,,82
2020-01-13,22:25,4575554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Lisandro Olmos,PNR - Línea 145,Línea 145,Protex,2020-01-13 22:23,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,30,06
2020-01-14,10:13,5575554505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-14 10:44,Si,,,,,,,,Buenos Aires,Buenos Aires,Denunciante - ciudadano,,,,06
2020-01-14,10:47,6575554505,Urgencia,Ciudadano,No,Trata,"Oferta laboral engañosa, posible captación",Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Protex,2020-06-23 18:47,Si,,,,,,,,Buenos Aires,Villa Crespo,Denunciante - ciudadano,,Hombre,45,06
2020-01-14,12:08,8484654505,Urgencia,Ciudadano,No,Trata,Publicidad de oferta sexual,,,PNR - Línea 145,Correo Institucional,Área Legal del Programa Nacional de Rescate,2020-06-23 18:14,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,
2020-01-14,12:37,9484654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Río Negro,San Carlos de Bariloche,PNR - Línea 145,Línea 145,Protex,2020-01-14 12:24,Si,,,,,,,,Río Negro,San Carlos de Bariloche,Denunciante - ciudadano,,Mujer,,62
2020-01-14,18:07,584654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Neuquén,Neuquen,PNR - Línea 145,Línea 145,Protex,2020-01-14 18:04,Si,,,,,,,,Neuquén,Neuquen,Denunciante - ciudadano,,Hombre,30,58
2020-01-14,20:52,1584654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Río Negro,San Carlos de Bariloche,PNR - Línea 145,Correo Institucional,Protex,2020-01-14 20:45,Si,,,,,,,Argentina,Río Negro,San Carlos de Bariloche,Denunciante - ciudadano,,Mujer,,62
2020-01-15,09:40,5584654505,Urgencia,Institución,No,Trata,Explotación sexual,Corrientes,Bella Vista,PNR - Línea 145,Línea 145,Protex,2020-01-15 10:19,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,18
2020-01-15,12:00,6584654505,Urgencia,Ciudadano,No,Trata,Venta de niños y otros delitos,Buenos Aires,Mar del Plata,PNR - Línea 145,Línea 145,Comisarías,2020-02-02 23:30,Si,,,,,,,,Buenos Aires,San José Corrientes,Denunciante - ciudadano,,Hombre,,06
2020-01-15,15:40,8494654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Buenos Aires,Grand Bourg,PNR - Línea 145,Línea 145,Protex,2020-01-15 15:34,Si,,,,,,,Argentina,Buenos Aires,Grand Bourg,Denunciante - ciudadano,,Mujer,,06
2020-01-15,16:09,9494654505,Emergencia,Ciudadano,Si,Trata,Explotación sexual,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-15 16:50,Si,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",Mujer,,82
2020-01-15,17:06,594654505,Urgencia,Ciudadano,Si,Trata,Explotación laboral,Buenos Aires,Lomas de Zamora,PNR - Línea 145,Línea 145,Comisarías,2020-01-15 19:29,Si,,,,,,,,,,Denunciante - ciudadano,"No sabe, no recuerda",Hombre,,06
2020-01-15,17:15,1594654505,Emergencia,Ciudadano,No,Trata,Explotación sexual,La Rioja,La Rioja,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-15 18:33,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,46
2020-01-15,18:40,2594654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Chaco,CONSUELA,PNR - Línea 145,Línea 145,Protex,2020-01-15 18:37,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,22
2020-01-16,02:53,3594654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-16 02:48,No,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,06
2020-01-16,12:53,5594654505,Emergencia,Institución,No,Trata,Explotación laboral,Buenos Aires,Marcos Paz,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-17 08:09,Si,,,,,,,,,,Denunciante - ciudadano,,Hombre,,06
2020-01-16,14:21,8405654505,Urgencia,Ciudadano,Si,Trata,Publicidad de oferta sexual,Buenos Aires,Ciudadela,PNR - Línea 145,Línea 145,Protex,2020-01-16 14:18,Si,,,,,,,Argentina,,,Denunciante - ciudadano,Por publicidad en radio,Mujer,48,06
2020-01-16,16:41,505654505,Emergencia,Ciudadano,No,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-19 21:17,Si,,,,,,,,Buenos Aires,Ciudad Autónoma de Buenos Aires,Denunciante - ciudadano,,Mujer,,06
2020-01-16,18:27,2505654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,La Rioja,La Rioja,PNR - Línea 145,Línea 145,Protex,2020-06-24 15:36,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,46
2020-01-16,19:04,4505654505,Urgencia,Ciudadano,No,Trata,"Explotación laboral, explotación laboral niñas, niños y adolescentes",Buenos Aires,Lomas del Mirador,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-16 18:53,Si,,,,,,,Argentina,Buenos Aires,Virrey del Pino,Denunciante - ciudadano,,Mujer,,06
2020-01-17,12:03,6505654505,Urgencia,Ciudadano,No,Trata,Explotación laboral,Chubut,Comodoro Rivadavia,PNR - Línea 145,Línea 145,Protex,2020-01-17 11:59,Si,,,,,,,,Chubut,Comodoro Rivadavia,Denunciante - ciudadano,,Hombre,,26
2020-01-17,15:52,8415654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,Protex,2020-01-17 15:49,Si,,,,,,,,Tucumán,,Denunciante - ciudadano,,,,90
2020-01-17,21:14,1515654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Tucumán,Famaillá,PNR - Línea 145,Línea 145,Protex,2020-06-24 15:38,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,90
2020-01-18,04:30,2515654505,Emergencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-18 04:27,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,06
2020-01-18,14:58,3515654505,Emergencia,Ciudadano,Si,Trata,Explotación sexual,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-18 14:53,Si,,,,,,,,,,,,,,82
2020-01-18,15:07,4515654505,Urgencia,Ciudadano,Si,Trata,Posible captación,Salta,Salta,PNR - Línea 145,Línea 145,Protex,2020-01-18 15:03,Si,,,,,,,,,,,,,,66
2020-01-18,16:02,5515654505,Urgencia,Ciudadano,No,Trata,Persona desaparecida,Córdoba,Jesus María,PNR - Línea 145,Línea 145,Protex,2020-01-18 16:02,Si,,,,,,,,Córdoba,Córdoba,Denunciante - ciudadano,,Hombre,,14
2020-01-18,18:04,7515654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-18 18:02,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,,06
2020-01-19,20:39,9425654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Tucumán,San Miguel de Tucumán,PNR - Línea 145,Línea 145,Protex,2020-01-19 22:03,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Mujer,,90
2020-01-19,21:15,525654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-19 21:57,Si,,,,,,,,,,Denunciante - ciudadano,,,,06
2020-01-19,22:32,1525654505,Emergencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-19 23:30,Si,,,,,,,,,,,,,,02
2020-01-19,22:56,2525654505,Urgencia,Ciudadano,Si,Trata,Explotación laboral,San Luis,San Luis,PNR - Línea 145,Línea 145,Protex,2020-01-19 23:52,Si,,,,,,,Argentina,San Luis,San Luis,Denunciante - ciudadano,,Mujer,,74
2020-01-20,10:57,4525654505,Urgencia,Institución,No,Trata,Explotación sexual,Buenos Aires,San Pedro,PNR - Línea 145,Línea 145,Protex,2020-01-20 11:01,Si,,,,,,,,Buenos Aires,San Pedro,Denunciante - ciudadano,,Mujer,,06
2020-01-20,11:23,5525654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Buenos Aires,Malvinas Argentinas,PNR - Línea 145,Línea 145,Protex,2020-01-20 11:21,Si,,,,,,,,,,Denunciante - ciudadano,,Transgénero,,06
2020-01-20,11:24,6525654505,Urgencia,Institución,No,Trata,Explotación sexual,Buenos Aires,9 de Abril,PNR - Línea 145,Línea 145,Protex,2020-01-20 11:56,Si,,,,,,,,,,Denunciante - ciudadano,,Mujer,,06
2020-01-20,13:18,7525654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-20 13:15,Si,,,,,,,Argentina,Buenos Aires,Ciudad Autónoma de Buenos Aires,Denunciante - ciudadano,,Mujer,,02
2020-01-20,15:46,8435654505,Urgencia,Ciudadano,No,Trata,Pornografía infantil,Catamarca,Catamarca,PNR - Línea 145,Línea 145,Protex,2020-01-20 15:40,Si,,,,,,,,Jujuy,San Salvador de Jujuy,Denunciante - ciudadano,,Mujer,,10
2020-01-20,16:08,9435654505,Urgencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Buenos Aires,PNR - Línea 145,Correo Institucional,Protex,2020-01-20 16:06,Si,,,,,,,,,,,,,,06
2020-01-20,19:10,535654505,Emergencia,Ciudadano,No,Trata,Explotación sexual,Buenos Aires,Gerli,PNR - Línea 145,Línea 145,Protex,2020-01-20 19:06,Si,,,,,,,,Buenos Aires,Lanús Oeste,Denunciante - ciudadano,,Hombre,,06
2020-01-20,21:02,1535654505,Urgencia,Ciudadano,Si,Trata,Explotación sexual,Santa Fe,Rosario,PNR - Línea 145,Línea 145,Protex,2020-01-20 21:00,Si,,,,,,,Argentina,,,Denunciante - ciudadano,,Hombre,60,82
2020-01-20,23:44,2535654505,Urgencia,Ciudadano,Si,Trata,Posible captación,Buenos Aires,Liniers,PNR - Línea 145,Línea 145,Área Legal del Programa Nacional de Rescate,2020-01-21 00:13,Si,,,,,,,,,,,,,,06
2020-01-21,01:48,3535654505,Emergencia,Ciudadano,Si,Trata,"Explotación sexual niñas, niños y adolescentes",Buenos Aires,La Plata,PNR - Línea 145,Línea 145,Gendarmería Nacional Argentina,2020-01-21 02:19,Si,,,,,,,,,,,,,,06
